trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1ls.png,ls.png,valid,line,cross,30,5.568160057067871,0.3712106704711914,0.19927772642476163,1.652651071548462,"[ 1.65265107  4.89266109  7.82041907 10.39688301 11.44473004 12.7726171
 13.78868723 14.93274617 21.21319199 21.98885798 22.94878817 24.46886897
 25.69296694 26.58957505 29.31702399]","[ 1.79400826  5.4020319   8.01005697 10.89011526 12.03376794 13.02623916
 14.21017599 15.43422294 21.45025802 22.33031988 23.24225593 24.67425323
 25.99427629 26.762326   30.2345202 ]","[0.1413571834564209, 0.5093708038330078, 0.1896378993988037, 0.49323225021362305, 0.5890378952026367, 0.25362205505371094, 0.42148876190185547, 0.5014767646789551, 0.23706603050231934, 0.3414618968963623, 0.29346776008605957, 0.2053842544555664, 0.30130934715270996, 0.17275094985961914, 0.9174962043762207]"
2,15ls.png,ls.png,valid,block,cross,16,4.403014421463013,0.5503768026828766,0.23417456171783083,6.727073907852173,"[ 6.72707391 13.39124203 15.89516711 16.63152599 18.983253   23.76747918
 27.35951591 29.04755592]","[ 7.56421518 13.82071519 16.22075987 17.23667407 19.74082804 24.58076906
 27.86090899 29.18095708]","[0.8371412754058838, 0.4294731616973877, 0.3255927562713623, 0.6051480770111084, 0.7575750350952148, 0.8132898807525635, 0.5013930797576904, 0.13340115547180176]"
3,ls.png,15ls.png,invalid,block,uncross,14,9.125076293945312,1.3035823277064733,0.6613423261572596,3.5062477588653564,"[ 3.50624776  6.26292181 10.35110998 13.01510072 14.20690799 22.23951411
 28.97553396]","[ 4.436409    7.508641   11.64464879 13.57267189 15.39029503 25.06084299
 30.06890392]","[0.9301612377166748, 1.2457191944122314, 1.2935388088226318, 0.5575711727142334, 1.183387041091919, 2.82132887840271, 1.093369960784912]"
4,ls.png,testls.png,local_l,local_l,t.cross,22,14.92621898651123,1.3569289987737483,0.5969560831301145,1.590890884399414,"[ 1.59089088  3.38265014  5.09477305  8.13483214 11.10266399 14.03080487
 17.07078385 20.31892395 21.77490997 23.90295696 26.97501588]","[ 2.30837798  4.75643802  6.24446297  9.40448618 12.73233891 14.94856191
 18.68442893 21.02043796 22.95647192 25.28465986 29.96476007]","[0.717487096786499, 1.3737878799438477, 1.1496899127960205, 1.2696540355682373, 1.6296749114990234, 0.9177570343017578, 1.613645076751709, 0.7015140056610107, 1.1815619468688965, 1.3817028999328613, 2.989744186401367]"
5,ls.png,1ls.png,invalid,line,uncross,30,9.917947053909302,0.6611964702606201,0.3542401157557943,5.111100196838379,"[ 5.1111002   6.25482202  7.97515011  8.90261388  9.92711115 11.53484201
 13.12685108 14.27892017 17.31904101 18.83104205 21.39115405 22.25500512
 25.56708407 26.55907393 30.14332509]","[ 5.72456789  7.07657099  8.46859002  9.32471013 11.02863503 12.15641308
 13.88561511 14.74064493 17.76473117 19.74051905 21.64476109 23.92475414
 26.01279616 27.22882819 30.37294602]","[0.6134676933288574, 0.8217489719390869, 0.4934399127960205, 0.42209625244140625, 1.1015238761901855, 0.6215710639953613, 0.7587640285491943, 0.46172475814819336, 0.4456901550292969, 0.9094769954681396, 0.25360703468322754, 1.6697490215301514, 0.4457120895385742, 0.6697542667388916, 0.22962093353271484]"
6,testls.png,ls.png,local_r,local_r,t.uncross,26,9.969373941421509,0.7668749185708853,0.3395151093050165,3.6626670360565186,"[ 3.66266704  4.95901632  6.66283798  8.50263405 10.63063216 12.07069421
 13.81466126 15.90295219 18.04686117 20.33493114 22.59880614 26.39936996
 29.90314412]","[ 3.98839211  5.52451921  7.30845213  9.37228322 11.15643811 12.91636825
 14.28451204 17.06036115 19.2365613  20.9806242  23.82044792 27.66886401
 30.14075804]","[0.32572507858276367, 0.5655028820037842, 0.6456141471862793, 0.8696491718292236, 0.5258059501647949, 0.8456740379333496, 0.4698507785797119, 1.1574089527130127, 1.1897001266479492, 0.6456930637359619, 1.2216417789459229, 1.2694940567016602, 0.23761391639709473]"
