trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
18,1ls.png,ls.png,valid,line,cross,26,6.4571614265441895,0.49670472511878383,0.5698937196309952,2.9673280715942383,"[ 2.96732807  5.93505001  7.88696599  8.78288603 10.07136106 11.79938912
 13.19111395 14.84704804 17.31125712 18.51905632 20.11104894 21.07912302
 28.14320207]","[ 3.29264998  6.68461227  8.1488111   8.94869304 10.62885094 12.14070606
 13.58081007 15.06075811 17.51685309 18.82080913 20.31682515 23.47671413
 28.48489809]","[0.32532191276550293, 0.7495622634887695, 0.26184511184692383, 0.16580700874328613, 0.5574898719787598, 0.34131693840026855, 0.3896961212158203, 0.21371006965637207, 0.2055959701538086, 0.30175280570983887, 0.20577621459960938, 2.3975911140441895, 0.34169602394104004]"
19,ls.png,testls.png,local,local,t.cross,18,12.821871519088745,1.4246523910098605,0.6008856980521955,1.9419620037078857,"[ 1.941962    5.36599302  8.35792422 11.31004214 15.49410415 18.56607103
 21.79019713 25.99836421 29.01424623]","[ 3.34767222  6.80370426  8.64367414 12.85301709 18.09989214 19.99571824
 23.7479403  27.17332101 29.99583626]","[1.405710220336914, 1.437711238861084, 0.2857499122619629, 1.5429749488830566, 2.605787992477417, 1.4296472072601318, 1.9577431678771973, 1.1749567985534668, 0.9815900325775146]"
20,15ls.png,ls.png,valid,block,cross,24,5.2514238357543945,0.4376186529795329,0.18906575426748573,2.9347567558288574,"[ 2.93475676  7.92722106 12.27086997 12.96668482 15.68711185 17.03109717
 19.26335788 20.51895189 22.39100289 23.81503105 27.46311808 28.63101006]","[ 3.66828704  8.60444903 12.46869206 13.52454805 16.15662217 17.2286458
 19.66068411 21.00473905 23.05254889 24.25275493 27.64478111 28.88488507]","[0.7335302829742432, 0.6772279739379883, 0.19782209396362305, 0.5578632354736328, 0.4695103168487549, 0.19754862785339355, 0.3973262310028076, 0.48578715324401855, 0.661545991897583, 0.43772387504577637, 0.18166303634643555, 0.2538750171661377]"
21,ls.png,testls.png,local,local,t.cross,22,10.911065101623535,0.9919150092385032,0.5340809332060715,0.9587578773498535,"[ 0.95875788  2.26273203  5.81487489  9.7349     13.33494616 13.81492209
 18.54352689 19.83099699 23.66317391 27.55909801 29.27108097]","[ 1.26855993  3.86059284  6.908571   11.49278283 13.75665116 14.53276086
 19.80477285 20.35675502 25.34887505 28.79687715 29.57287621]","[0.3098020553588867, 1.5978608131408691, 1.093696117401123, 1.757882833480835, 0.4217050075531006, 0.7178387641906738, 1.2612459659576416, 0.5257580280303955, 1.6857011318206787, 1.237779140472412, 0.30179524421691895]"
22,testls.png,ls.png,local,local,t.uncross,28,10.789023160934448,0.7706445114953178,0.3084932494091512,2.0948219299316406,"[ 2.09482193  3.28680897  5.39882302  6.95872188  8.79886985 10.47885394
 12.1108551  14.94289804 17.23096681 19.26298499 21.52696109 24.94308305
 27.44716597 29.30309319]","[ 2.53252006  3.72458291  6.01254416  7.99666119  9.42220998 11.3088789
 13.06066585 16.02869201 17.99110103 20.75659609 21.74081397 25.6768539
 28.12487793 30.19693303]","[0.4376981258392334, 0.4377739429473877, 0.6137211322784424, 1.0379393100738525, 0.6233401298522949, 0.8300249576568604, 0.9498107433319092, 1.0857939720153809, 0.760134220123291, 1.4936110973358154, 0.2138528823852539, 0.7337708473205566, 0.6777119636535645, 0.8938398361206055]"
23,1ls.png,ls.png,valid,line,cross,24,8.507667541503906,0.7089722951253256,0.4548644889753258,4.118926048278809,"[ 4.11892605  5.83116794  7.11891508  9.75160694 12.35897589 14.01495504
 14.91098213 20.31126904 23.0230689  26.07934618 27.63109922 29.11105895]","[ 4.44457793  6.14058304  8.78061509 10.34869909 13.16467094 14.38074493
 16.26874495 20.62879896 23.90080404 26.53289104 27.86894107 30.30896783]","[0.3256518840789795, 0.3094151020050049, 1.6617000102996826, 0.5970921516418457, 0.8056950569152832, 0.36578989028930664, 1.3577628135681152, 0.31752991676330566, 0.8777351379394531, 0.45354485511779785, 0.23784184455871582, 1.197908878326416]"
24,ls.png,15ls.png,invalid,block,uncross,18,9.738500595092773,1.0820556216769748,0.8895543268236769,2.6068828105926514,"[ 2.60688281  8.79089594 12.87912083 15.81481886 17.3272841  18.77480984
 19.42291474 23.93505287 27.391536  ]","[ 5.70055294  9.12454796 14.38064599 16.10862803 18.68450904 18.81270695
 19.86064696 25.24477696 28.76480174]","[3.093670129776001, 0.3336520195007324, 1.5015251636505127, 0.293809175491333, 1.357224941253662, 0.03789710998535156, 0.4377322196960449, 1.3097240924835205, 1.3732657432556152]"
25,ls.png,15ls.png,invalid,block,uncross,12,10.66547417640686,1.7775790294011433,0.6260436346443834,3.2788820266723633,[ 3.27888203  7.99091196 12.2709229  18.5514679  21.97521996 28.23111081],[ 4.84453869  9.14857793 15.23670387 19.81259274 24.17270875 29.74886775],"[1.5656566619873047, 1.1576659679412842, 2.9657809734344482, 1.261124849319458, 2.197488784790039, 1.5177569389343262]"
26,ls.png,1ls.png,invalid,line,uncross,20,9.642037153244019,0.9642037153244019,0.33930916182874216,4.079017877578735,"[ 4.07901788  6.31905985 10.57480597 13.8387692  17.59088707 19.01480317
 21.57490206 22.42288899 25.110991   28.36701012]","[ 4.98826098  7.65244508 12.01237512 15.0284071  18.12459302 19.74917293
 22.09267902 23.53376818 26.42070198 28.93276906]","[0.909243106842041, 1.3333852291107178, 1.4375691413879395, 1.1896378993988037, 0.5337059497833252, 0.7343697547912598, 0.5177769660949707, 1.1108791828155518, 1.30971097946167, 0.5657589435577393]"
27,ls.png,15ls.png,invalid,block,uncross,20,10.204427003860474,1.0204427003860475,0.5225453634064459,2.1187100410461426,"[ 2.11871004  5.8068831  10.88688993 12.49480891 14.79075003 15.73485088
 18.39140296 20.53500605 24.99128604 28.41509914]","[ 3.27055192  7.50042415 11.83656216 13.26849198 15.06065297 16.5084672
 18.62864304 22.31672692 25.93478489 30.04480886]","[1.1518418788909912, 1.6935410499572754, 0.9496722221374512, 0.7736830711364746, 0.26990294456481934, 0.7736163139343262, 0.23724007606506348, 1.7817208766937256, 0.9434988498687744, 1.6297097206115723]"
28,ls.png,1ls.png,invalid,line,uncross,20,8.528058528900146,0.8528058528900146,0.5057995914917089,1.7429139614105225,"[ 1.74291396  2.51080108  8.67926121 12.5990231  14.15879416 17.65514112
 20.91908503 23.375211   26.527143   29.91115522]","[ 2.05253005  3.21247196 10.67660308 13.860497   14.96448302 18.98873305
 21.70874    23.93281817 26.87683702 30.33287406]","[0.3096160888671875, 0.7016708850860596, 1.9973418712615967, 1.2614738941192627, 0.8056888580322266, 1.3335919380187988, 0.7896549701690674, 0.5576071739196777, 0.34969401359558105, 0.4217188358306885]"
29,ls.png,1ls.png,invalid,line,uncross,22,10.542176723480225,0.9583797021345659,0.5626424221197912,4.1588780879974365,"[ 4.15887809  8.23878622  9.31078196 11.1187222  11.85473514 17.99133801
 21.04695296 21.9108932  25.47105908 27.41505313 28.09503222]","[ 5.22840405  8.88451195  9.82849002 11.54858184 14.27640104 19.42068005
 21.62064791 22.87671304 26.58056498 27.77283216 29.11658192]","[1.069525957107544, 0.6457257270812988, 0.5177080631256104, 0.42985963821411133, 2.421665906906128, 1.4293420314788818, 0.5736949443817139, 0.9658198356628418, 1.1095058917999268, 0.35777902603149414, 1.0215497016906738]"
30,testls.png,ls.png,local,local,t.uncross,22,10.733731508255005,0.9757937734777277,0.7553208926757738,2.7589309215545654,"[ 2.75893092  5.96681285  8.13491893  9.32684803 12.302845   17.90311885
 19.575073   21.57494879 24.95909595 26.63172889 29.47908998]","[ 3.87635112  6.46855783  8.42056704 10.76458812 15.10853577 18.19668293
 20.26069999 23.48481393 25.37281704 27.14886689 30.24466205]","[1.1174201965332031, 0.5017449855804443, 0.2856481075286865, 1.4377400875091553, 2.8056907653808594, 0.2935640811920166, 0.6856269836425781, 1.909865140914917, 0.41372108459472656, 0.5171380043029785, 0.7655720710754395]"
