trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,testls.png,ls.png,local,local_r,uncross,18,5.92233943939209,0.6580377154880099,0.6631437545901976,6.121564865112305,"[ 6.12156487  9.65762091 12.24120688 14.96153784 22.21773982 23.55352092
 25.63357091 26.99379706 28.09743977]","[ 6.83092499  9.83897591 12.42306495 17.38312697 22.8551631  24.36726904
 26.04726481 27.16725278 28.48729587]","[0.7093601226806641, 0.18135499954223633, 0.18185806274414062, 2.4215891361236572, 0.6374232769012451, 0.8137481212615967, 0.413693904876709, 0.17345571517944336, 0.38985610008239746]"
2,ls.png,1ls.png,invalid,line,cross,24,11.07626748085022,0.9230222900708517,0.5888012365102159,3.7509093284606934,"[ 3.75090933  5.47887611  8.01484728 11.99091935 15.42289114 16.42286825
 18.40698719 19.91099811 23.13501215 25.64700127 26.95107317 29.75119114]","[ 4.71655822  6.07632208 10.18033314 13.7566812  16.03663206 16.61266208
 18.90071607 20.79666018 23.48484015 26.59683418 28.55670238 30.24490023]","[0.965648889541626, 0.5974459648132324, 2.1654858589172363, 1.7657618522644043, 0.6137409210205078, 0.18979382514953613, 0.4937288761138916, 0.8856620788574219, 0.34982800483703613, 0.9498329162597656, 1.6056292057037354, 0.49370908737182617]"
3,ls.png,testls.png,local,local_l,cross,20,12.800181865692139,1.280018186569214,0.5793816272301219,1.222830057144165,"[ 1.22283006  6.09511113 10.43917727 15.447402   17.51116633 18.79111409
 21.19110012 22.92713308 25.14314699 27.39116001]","[ 2.20451093  8.59650302 11.900527   16.34074211 17.78882194 20.15688229
 22.57286119 24.83696508 26.28475523 28.27695417]","[0.9816808700561523, 2.501391887664795, 1.4613497257232666, 0.8933401107788086, 0.27765560150146484, 1.3657681941986084, 1.381761074066162, 1.9098320007324219, 1.1416082382202148, 0.8857941627502441]"
4,ls.png,15ls.png,invalid,block,cross,14,6.931269645690918,0.9901813779558454,0.35748106868923213,3.447096109390259,"[ 3.44709611  8.42337203 13.03940988 14.73519492 18.10318995 21.66321588
 25.98343396]","[ 4.33265591  9.53488588 13.66284704 15.86886287 19.31687593 23.22097993
 26.3890748 ]","[0.8855597972869873, 1.1115138530731201, 0.6234371662139893, 1.1336679458618164, 1.2136859893798828, 1.5577640533447266, 0.4056408405303955]"
5,1ls.png,ls.png,valid,line,uncross,24,4.363199234008789,0.3635999361673991,0.4218492029303542,2.3591270446777344,"[ 2.35912704  4.67891097  7.80691504 10.158849   11.30287194 13.90312076
 16.46347165 18.44698477 23.03157496 24.38312173 25.21502471 26.23126173]","[ 2.59649301  5.02863002  7.99659371 10.30060577 11.38857698 14.09269094
 16.73276377 18.70072484 23.30877995 24.70084667 25.52484083 27.97288704]","[0.2373659610748291, 0.3497190475463867, 0.18967866897583008, 0.14175677299499512, 0.08570504188537598, 0.18957018852233887, 0.26929211616516113, 0.2537400722503662, 0.2772049903869629, 0.31772494316101074, 0.3098161220550537, 1.7416253089904785]"
6,testls.png,ls.png,local,local_r,uncross,24,3.7886147499084473,0.3157178958257039,0.16999276515274817,6.726853132247925,"[ 6.72685313  8.26284003  9.82281899 15.23151708 18.18284607 18.99883604
 20.58295703 21.54303527 26.24728298 27.28713012 28.10302305 29.89524007]","[ 7.00448418  8.52453089 10.27635813 16.06104493 18.42066407 19.29275227
 20.82070923 21.772825   26.50885296 27.42880106 28.34082198 30.22114992]","[0.2776310443878174, 0.2616908550262451, 0.4535391330718994, 0.8295278549194336, 0.23781800270080566, 0.2939162254333496, 0.23775219917297363, 0.22978973388671875, 0.2615699768066406, 0.14167094230651855, 0.23779892921447754, 0.3259098529815674]"
7,1ls.png,ls.png,valid,line,uncross,36,6.774167060852051,0.3763426144917806,0.1663317730935196,2.9591281414031982,"[ 2.95912814  5.56746602  7.27112603  9.18295407 10.24702692 11.3430171
 13.21509099 15.17528915 16.1512022  17.48718214 19.9912982  21.16717005
 23.1512332  24.19125319 25.73527622 27.167274   28.44742823 28.69519019]","[ 3.11665106  5.9007082   7.46070004  9.41270924 10.57283521 11.78881407
 13.42874813 15.70888305 16.54080415 17.94891286 20.3409071  21.63692904
 23.39699817 24.90898418 25.98900723 27.70902109 28.65305614 29.40510416]","[0.15752291679382324, 0.33324217796325684, 0.1895740032196045, 0.22975516319274902, 0.3258082866668701, 0.4457969665527344, 0.21365714073181152, 0.5335938930511475, 0.3896019458770752, 0.4617307186126709, 0.3496088981628418, 0.4697589874267578, 0.24576497077941895, 0.7177309989929199, 0.25373101234436035, 0.5417470932006836, 0.2056279182434082, 0.709913969039917]"
8,testls.png,ls.png,local,local_r,uncross,24,5.963571548461914,0.4969642957051595,0.31524500415598744,5.566936016082764,"[ 5.56693602  7.6948061   9.78285503 11.56684017 14.13481092 16.67886186
 18.35092092 22.47930288 23.93494511 25.37506294 26.73519802 27.94312096]","[ 6.65240884  8.03646493 10.06048393 11.83649683 14.94041705 16.86861014
 18.96461487 22.83668399 24.23672509 25.67681694 27.03678894 29.06072092]","[1.085472822189331, 0.3416588306427002, 0.27762889862060547, 0.2696566581726074, 0.8056061267852783, 0.18974828720092773, 0.6136939525604248, 0.35738110542297363, 0.30177998542785645, 0.3017539978027344, 0.3015909194946289, 1.1175999641418457]"
9,15ls.png,ls.png,valid,block,uncross,20,2.6404531002044678,0.2640453100204468,0.048610864709041614,5.575056791305542,"[ 5.57505679 12.64712071 15.3512671  17.27093601 18.44687366 21.07904291
 21.85496593 25.21507883 27.62311983 28.575104  ]","[ 5.74846196 12.88462472 15.62056184 17.53262901 18.66061783 21.41274595
 22.19676185 25.48479486 27.86892796 28.86889291]","[0.17340517044067383, 0.2375040054321289, 0.26929473876953125, 0.26169300079345703, 0.2137441635131836, 0.33370304107666016, 0.3417959213256836, 0.2697160243988037, 0.24580812454223633, 0.2937889099121094]"
10,ls.png,1ls.png,invalid,line,cross,24,9.747751951217651,0.812312662601471,0.50174713976427,2.7268049716949463,"[ 2.72680497  4.87923002  5.78278995  7.00665879  8.40726495 12.27916193
 13.87893391 17.54288268 20.98306489 21.87100601 25.97518682 27.59117293]","[ 3.23649001  5.49249268  6.24454093  7.24458504  9.90848589 13.47663999
 14.45266485 19.45275187 21.36475086 22.78875399 26.28487182 28.72488189]","[0.5096850395202637, 0.6132626533508301, 0.46175098419189453, 0.23792624473571777, 1.501220941543579, 1.1974780559539795, 0.5737309455871582, 1.9098691940307617, 0.3816859722137451, 0.917747974395752, 0.30968499183654785, 1.1337089538574219]"
